,X,Y
0,-10.0,-93.0110371476633
1,-9.8,-76.78285664616202
2,-9.6,-79.63214539652627
3,-9.4,-80.43219637927113
4,-9.2,-88.65555262938152
5,-9.0,-86.25613151193113
6,-8.8,-86.20599330796323
7,-8.6,-64.41177250140154
8,-8.4,-68.373239718163
9,-8.2,-63.4062581328949
10,-8.0,-77.50597213690074
11,-7.8,-52.32216354811213
12,-7.6,-53.22137662078987
13,-7.4,-65.70386134372139
14,-7.199999999999999,-64.03620078702957
15,-7.0,-61.59829176351759
16,-6.8,-56.298186168971085
17,-6.6,-48.60584564082628
18,-6.4,-48.43331955258923
19,-6.199999999999999,-49.41050063524698
20,-6.0,-39.3155305266629
21,-5.8,-48.25214734435099
22,-5.6,-42.18852843515475
23,-5.3999999999999995,-38.0073157609514
24,-5.199999999999999,-33.45432037879113
25,-5.0,-23.155776926567675
26,-4.8,-34.80782922819936
27,-4.6,-24.858373478073318
28,-4.3999999999999995,-20.58205034731098
29,-4.199999999999999,-31.285190094720047
30,-4.0,-15.41892355436548
31,-3.8,-23.507421031504997
32,-3.5999999999999996,-23.638761768353287
33,-3.3999999999999995,-0.026747105919998404
34,-3.1999999999999993,2.775168793789433
35,-3.0,1.4015363547950663
36,-2.8,-8.289269539839097
37,-2.5999999999999996,-10.855869263846783
38,-2.3999999999999995,5.621592636291773
39,-2.1999999999999993,2.16365984975044
40,-2.0,-3.071082363725308
41,-1.799999999999999,8.284245842670497
42,-1.5999999999999996,-0.37467549323475424
43,-1.4000000000000004,23.023689649890766
44,-1.1999999999999993,9.810719558400415
45,-1.0,21.900534824495566
46,-0.7999999999999989,15.881065826145875
47,-0.5999999999999996,23.281632508267464
48,-0.3999999999999986,26.32104670423873
49,-0.1999999999999993,20.036506932612657
50,0.0,41.270031066349404
51,0.20000000000000107,39.00318776066676
52,0.40000000000000036,45.34797459754054
53,0.6000000000000014,46.67585641026359
54,0.8000000000000007,41.94959949146605
55,1.0,52.12498164055481
56,1.200000000000001,34.52382004924608
57,1.4000000000000004,39.50358869805949
58,1.6000000000000014,38.28545493385293
59,1.8000000000000007,47.40792793831835
60,2.0,51.32825495254757
61,2.200000000000001,50.912376762573516
62,2.4000000000000004,66.68970021964631
63,2.6000000000000014,57.76207984064616
64,2.8000000000000007,58.34242823249715
65,3.0,67.02470599579796
66,3.200000000000001,59.78218139939431
67,3.4000000000000004,78.05272753809696
68,3.6000000000000014,62.98921544831452
69,3.8000000000000007,87.28528647841242
70,4.0,84.53387446311979
71,4.200000000000001,73.16917635682015
72,4.4,70.93253081096647
73,4.600000000000001,92.77107428291603
74,4.800000000000001,92.56457625234282
75,5.0,95.4961720329837
76,5.200000000000001,98.9104883204627
77,5.4,84.57707164161818
78,5.600000000000001,93.80317748506256
79,5.800000000000001,90.38085742860312
80,6.0,110.71448222101424
81,6.199999999999999,107.35915504386138
82,6.400000000000002,102.7415525964636
83,6.600000000000001,98.72540040686458
84,6.800000000000001,107.06357572117591
85,7.0,109.80439972864193
86,7.199999999999999,121.91054828011353
87,7.400000000000002,122.10137931252514
88,7.600000000000001,130.49310582183185
89,7.800000000000001,122.93315820388679
90,8.0,116.87026190251925
91,8.2,133.51787489335186
92,8.400000000000002,137.05884116680556
93,8.600000000000001,134.67065274166794
94,8.8,142.10321231890947
95,9.0,137.85109431274537
96,9.200000000000003,140.94558790516788
97,9.400000000000002,141.0609844406052
98,9.600000000000001,133.8100590418583
99,9.8,138.18939424783932
100,10.0,138.75430045648162
